source_pdf,institute_code,institute_name,course_code,academic_year,cap_round,candidate_type,category,seat_type,university_type,cutoff_value,cutoff_unit,raw_row_text,page_number,allotment_type,row_hash
7026366bbc3b-PG_MCA_CAP1_Cutoff_MH_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,1,Maharashtra,GOPENH,GOPENH,HU,85.3851665,percentile,GOPENH | 4742 | 85.3851665 | Stage-I,1,Home University Seats Allotted to Home University Candidates,c9f0c77f826ba62f95222a177e95a1b1ddce4d02dfadd33eebe672ad13efb137
7026366bbc3b-PG_MCA_CAP1_Cutoff_MH_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,1,Maharashtra,GSCH,GSCH,HU,53.942159,percentile,GSCH | 14153 | 53.942159 | Stage-I,1,Home University Seats Allotted to Home University Candidates,caf1374a2a501d810972781b80630879729771ce6043730d5c1269555a1be312
7026366bbc3b-PG_MCA_CAP1_Cutoff_MH_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,1,Maharashtra,GSTH,GSTH,HU,69.7143504,percentile,GSTH | 9741 | 69.7143504 | Stage-I,1,Home University Seats Allotted to Home University Candidates,7ea3ed82d5c8c0a5c084bc57c68aa79af5314bf99864774ef9deeb222f32ba77
7026366bbc3b-PG_MCA_CAP1_Cutoff_MH_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,1,Maharashtra,GNTAH,GNTAH,HU,77.8251197,percentile,GNTAH | 7408 | 77.8251197 | Stage-I,1,Home University Seats Allotted to Home University Candidates,111ea1a5d86f71faf78651fec7302cb41a15ace064faede0531e49e1f7cce30a
7026366bbc3b-PG_MCA_CAP1_Cutoff_MH_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,1,Maharashtra,GNTBH,GNTBH,HU,67.3579428,percentile,GNTBH | 10287 | 67.3579428 | Stage-I,1,Home University Seats Allotted to Home University Candidates,d0c845209792ba684a8f87da1959a7bac0565f0378adacb1b4a131b8aac770f8
7026366bbc3b-PG_MCA_CAP1_Cutoff_MH_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,1,Maharashtra,GNTCH,GNTCH,HU,77.8251197,percentile,GNTCH | 7243 | 77.8251197 | Stage-I,1,Home University Seats Allotted to Home University Candidates,8654c5e93ad273552b6784dd38694b855c677a954ba2fb13d70b5543f4679581
7026366bbc3b-PG_MCA_CAP1_Cutoff_MH_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,1,Maharashtra,GOBCH,GOBCH,HU,82.8308366,percentile,GOBCH | 6039 | 82.8308366 | Stage-I,1,Home University Seats Allotted to Home University Candidates,517aec8861c59d0429d77c8160c5d869723b4d9be4f6ef70e7d6e4c80510a89a
7026366bbc3b-PG_MCA_CAP1_Cutoff_MH_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,1,Maharashtra,GSEBCH,GSEBCH,HU,34.5198145,percentile,GSEBCH | 19050 | 34.5198145 | Stage-I,1,Home University Seats Allotted to Home University Candidates,acaf92ad9b78d10b1750ad09404c504517734325f9fc26cdf8b0e6d2e2a9b97d
7026366bbc3b-PG_MCA_CAP1_Cutoff_MH_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,1,Maharashtra,PWDOPENH,PWDOPENH,HU,5.5960152,percentile,PWDOPENH | 24739 | 5.5960152 | Stage-I,1,Home University Seats Allotted to Home University Candidates,85e0632d8423e1957c271f834a74c6b104c2a912b0538cb56da237643776da0e
7026366bbc3b-PG_MCA_CAP1_Cutoff_MH_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,1,Maharashtra,GSTH,GSTH,HU,15.5994113,percentile,GSTH | 22839 | 15.5994113 | Stage-I,1,Home University Seats Allotted to Other Than Home University Candidates,42f5a09b03aac2530e77959a57e5dc629f0f6cf2e28e8621f26fba4f422d3b84
