source_pdf,institute_code,institute_name,course_code,academic_year,cap_round,candidate_type,category,seat_type,university_type,cutoff_value,cutoff_unit,raw_row_text,page_number,allotment_type,row_hash
a364fccf8115-PG_MCA_CAP3_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,3,Maharashtra,GOPENH,GOPENH,HU,80.5399495,percentile,GOPENH | 6320 | 80.5399495 | Stage-I,1,Home University Seats Allotted to Home University Candidates,315e92d76e2b2873858b5f75ac2bd7f687622975eec050eea0706a5947d8b100
a364fccf8115-PG_MCA_CAP3_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,3,Maharashtra,GSCH,GSCH,HU,31.6629561,percentile,GSCH | 19682 | 31.6629561 | Stage-I,1,Home University Seats Allotted to Home University Candidates,459f23ea96e630da5698731a97b976ffbe70c1794407d9359b44fc6928a0fdc1
a364fccf8115-PG_MCA_CAP3_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,3,Maharashtra,GNTBH,GNTBH,HU,56.5488095,percentile,GNTBH | 13517 | 56.5488095 | Stage-I,1,Home University Seats Allotted to Home University Candidates,5a907158602d93f3b83eed6dea656be9acb3ee152d149cb4a5e4b9bfe04ef793
a364fccf8115-PG_MCA_CAP3_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,3,Maharashtra,GNTDH,GNTDH,HU,76.9216256,percentile,GNTDH | 7837 | 76.9216256 | Stage-I,1,Home University Seats Allotted to Home University Candidates,dd77db06b569fc3dff5e3bdd81697569ea8e70acab3961b239bc7a2cad33f74e
a364fccf8115-PG_MCA_CAP3_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,3,Maharashtra,GOPENO,GOPENO,HU,63.1574978,percentile,GOPENO | 11696 | 63.1574978 | Stage-I,1,Other Than Home University Seats Allotted to Other Than Home University Candidates,ecb3986914103e28ab21c81ca4a4c604b0b01759c0ba02f002573b33186a53ba
a364fccf8115-PG_MCA_CAP3_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,3,Maharashtra,GSCO,GSCO,HU,25.4779232,percentile,GSCO | 21071 | 25.4779232 | Stage-I,1,Other Than Home University Seats Allotted to Other Than Home University Candidates,6873e5ee05d3ee379e4be397b06202eeacfa340d4614ebaeb39292ff0e09d613
a364fccf8115-PG_MCA_CAP3_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,3,Maharashtra,GSTO,GSTO,HU,53.942159,percentile,GSTO | 14143 | 53.942159 | Stage-I,1,Other Than Home University Seats Allotted to Other Than Home University Candidates,512539063867081b845cca1da50eed443bddc5e18e1d91a54bb849417dac589e
a364fccf8115-PG_MCA_CAP3_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,3,Maharashtra,TFWS,TFWS,SL,76.9216256,percentile,TFWS | 7560 | 76.9216256 | Stage-I,1,Other Than Home University Seats Allotted to Other Than Home University Candidates,4bd1d78f97b5cc6cf289934fa50cc6bdd39562827a4585be33f3cfacbff056d4
a364fccf8115-PG_MCA_CAP3_Cutoff_All_Institutes_2025_26.pdf,1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110224110,2025-26,3,Maharashtra,GOPENH,GOPENH,HU,80.5399495,percentile,GOPENH | 6281 | 80.5399495 | Stage-I,2,Home University Seats Allotted to Home University Candidates,1e0f1869439e1b815447f8d52f2cfa90bc9e5bb9fa9dd5ab2192334ebdc327cc
a364fccf8115-PG_MCA_CAP3_Cutoff_All_Institutes_2025_26.pdf,1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110224110,2025-26,3,Maharashtra,GOPENO,GOPENO,HU,19.1539942,percentile,GOPENO | 22254 | 19.1539942 | Stage-I,2,Other Than Home University Seats Allotted to Other Than Home University Candidates,9ed7733ae196d2249e03a7767b4f067c71b5f2942ba44dde6fb8c020e732ec50
