source_pdf,institute_code,institute_name,course_code,academic_year,cap_round,candidate_type,category,seat_type,university_type,cutoff_value,cutoff_unit,raw_row_text,page_number,allotment_type,row_hash
f6ffd36c4c00-PG_MCA_CAP2_Cutoff_All_Institutes_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,2,Maharashtra,GOPENH,GOPENH,HU,82.8308366,percentile,GOPENH | 6026 | 82.8308366 | Stage-I,1,Home University Seats Allotted to Home University Candidates,f0db03eb63e9c92fddedf4b5c9e4b3ba864ec6b04240ad70ab706fdc08a3550b
f6ffd36c4c00-PG_MCA_CAP2_Cutoff_All_Institutes_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,2,Maharashtra,GSCH,GSCH,HU,34.5198145,percentile,GSCH | 19085 | 34.5198145 | Stage-I,1,Home University Seats Allotted to Home University Candidates,64010ce76a71e6fe9f7fc2e6161cc8d3ca7a9a2e77efa82e72451bc10887a4bd
f6ffd36c4c00-PG_MCA_CAP2_Cutoff_All_Institutes_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,2,Maharashtra,GSTH,GSTH,HU,58.7911466,percentile,GSTH | 13209 | 58.7911466 | Stage-I,1,Home University Seats Allotted to Home University Candidates,91962803c463d31eff4d33dde71bbf581d3a3758fb40ca50bf0d6c9fdf4e856f
f6ffd36c4c00-PG_MCA_CAP2_Cutoff_All_Institutes_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,2,Maharashtra,GNTBH,GNTBH,HU,79.9969812,percentile,GNTBH | 6764 | 79.9969812 | Stage-I,1,Home University Seats Allotted to Home University Candidates,111a3adfebf5a1f4d6e13b55e54e3842d310e87e85a1481d2355685fac041b56
f6ffd36c4c00-PG_MCA_CAP2_Cutoff_All_Institutes_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,2,Maharashtra,GSEBCH,GSEBCH,HU,49.3533426,percentile,GSEBCH | 15232 | 49.3533426 | Stage-I,1,Home University Seats Allotted to Other Than Home University Candidates,fd3601232f0440d1e7a57ae4a4a2bd63ef92ec9f483be4a1c45132ca8c25dbb8
f6ffd36c4c00-PG_MCA_CAP2_Cutoff_All_Institutes_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,2,Maharashtra,GOPENO,GOPENO,HU,85.2118788,percentile,GOPENO | 4909 | 85.2118788 | Stage-I,1,Other Than Home University Seats Allotted to Other Than Home University Candidates,4d66c82e8ad3a4c9dac2e51e6e0aec0e6a7668380889c826329c5b736324c45e
f6ffd36c4c00-PG_MCA_CAP2_Cutoff_All_Institutes_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,2,Maharashtra,GSCO,GSCO,HU,80.5399495,percentile,GSCO | 6460 | 80.5399495 | Stage-I,1,Other Than Home University Seats Allotted to Other Than Home University Candidates,dc5148805af5b70aa330cf8222acc2187eb533736c1be05a68591124460548e9
f6ffd36c4c00-PG_MCA_CAP2_Cutoff_All_Institutes_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,2,Maharashtra,GSTO,GSTO,HU,85.2118788,percentile,GSTO | 5128 | 85.2118788 | Stage-I,1,Other Than Home University Seats Allotted to Other Than Home University Candidates,1e914a6cbed34412c72f79bc18ebaa9f6e9dae8db2ec0eb9387b55da2e61a555
f6ffd36c4c00-PG_MCA_CAP2_Cutoff_All_Institutes_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,2,Maharashtra,GOBCO,GOBCO,HU,53.942159,percentile,GOBCO | 14419 | 53.942159 | Stage-I,1,Other Than Home University Seats Allotted to Other Than Home University Candidates,896ed0de94bdf1d46c0a320bb208d06278705e0893d8d6a5034c235a33ff09af
f6ffd36c4c00-PG_MCA_CAP2_Cutoff_All_Institutes_2025_26__1_.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,2,Maharashtra,EWS,EWS,SL,63.1574978,percentile,EWS | 11802 | 63.1574978 | Stage-I,1,Other Than Home University Seats Allotted to Other Than Home University Candidates,cea9a0e3f1a211029b9100814627462f3f4aa4d5e215987c4c59904f690d583e
